Smol Croxy,Price,Source,,Alt
Bed Springs and M3 Bolts,$3.00,https://www.aliexpress.us/item/3256801174082850.html?spm=a2g0o.productlist.main.27.12365a511ABHNS&algo_pvid=98d5c65c-b498-4de4-ab86-c6bc1e526e46&algo_exp_id=98d5c65c-b498-4de4-ab86-c6bc1e526e46-26&pdp_ext_f=%7B%22order%22%3A%22166%22%2C%22eval%22%3A%221%22%7D&pdp_npi=4%40dis%21USD%212.80%210.99%21%21%212.80%210.99%21%40210312d517496089617308644e226c%2112000040496505247%21sea%21US%216390008046%21ABX&curPageLogUid=hRGLfOGD951N&utparam-url=scene%3Asearch%7Cquery_from%3A,y,
,,,,
Electronics,,,,
Power supply - Mean Well ,$32,https://www.digikey.com/en/products/detail/mean-well-usa-inc/LRS-150-24/7705015,y,
klipper laptop (instead of pi),freeeeee,old vaio,,
btt spider,$32,https://www.aliexpress.us/item/3256802425339653.html?gatewayAdapt=glo2usa4itemAdapt,y,
6x stepper dirvers,$17,https://www.aliexpress.us/item/3256805074646808.html?spm=a2g0o.cart.0.0.691c38daKw0zqJ&mp=1&pdp_npi=5%40dis%21USD%21USD%202.75%21USD%202.75%21%21USD%202.75%21%21%21%402101c80017496233448018458e11a4%2112000032397675984%21ct%21US%216390313130%21%216%210&gatewayAdapt=glo2usa,y,
Fan Set,$4,https://www.aliexpress.us/item/3256802661325134.html?spm=a2g0o.productlist.main.17.4416386d2hGpjQ&algo_pvid=89684961-a268-4c86-a9a9-3af8c25547bb&algo_exp_id=89684961-a268-4c86-a9a9-3af8c25547bb-16&pdp_ext_f=%7B%22order%22%3A%2271%22%2C%22eval%22%3A%221%22%7D&pdp_npi=4%40dis%21USD%213.23%210.99%21%21%213.23%210.99%21%402103273e17496091620276084e4142%2112000022451191181%21sea%21US%216390008046%21ABX&curPageLogUid=x36ddbIdyqa5&utparam-url=scene%3Asearch%7Cquery_from%3A,y,
limit switches,$3,"https://www.aliexpress.us/item/3256801412797483.html?spm=a2g0o.detail.pcDetailTopMoreOtherSeller.1.7281EN7iEN7iEw&gps-id=pcDetailTopMoreOtherSeller&scm=1007.14452.396806.0&scm_id=1007.14452.396806.0&scm-url=1007.14452.396806.0&pvid=b97728e4-87ac-45ef-88c4-bf1cdbf0d7cc&_t=gps-id:pcDetailTopMoreOtherSeller,scm-url:1007.14452.396806.0,pvid:b97728e4-87ac-45ef-88c4-bf1cdbf0d7cc,tpp_buckets:668%232846%238114%231999&pdp_ext_f=%7B%22order%22%3A%22441%22%2C%22eval%22%3A%221%22%2C%22sceneId%22%3A%2230050%22%7D&pdp_npi=4%40dis%21USD%212.93%212.55%21%21%212.93%212.55%21%402101c5ac17490034128137397e69ea%2112000047027348662%21rec%21US%21%21ABXZ&utparam-url=scene%3ApcDetailTopMoreOtherSeller%7Cquery_from%3A&search_p4p_id=202506031916528631335802323094798288_0",y,
,,,,
,,,,
TOTAL ESTIMATED USD,$319.00,Amazon:,122,
Subtotal USD,$329.00,AliExpress,175,
Remaining USD,-$10.00,Digikey:,32,
,,Robotdigg,0,
,,Stepper Direct,0,
